"Name","MAC address","Serial number","Tags","Local IP","Ethernet 1 LLDP","Schedule","Quality & retention profile"
"cc:9c:3e:58:c4:52 (RMA)","cc:9c:3e:58:c4:52","Q2JV-BEKX-H3YQ","null","","null","Always on","null"
"A.U.B.H.S. School of Art Entrance","ac:17:c8:0e:ac:71","Q2FV-P35K-QZ5C","AUBHS","192.168.43.148","AUBHS School of art BLD / Port 3","Always on","null"
"A.U.B.H.S. School of Art Camera 2","ac:17:c8:0e:ab:96","Q2FV-DQL3-72ZJ","AUBHS","192.168.43.90","AUBHS School of art BLD / Port 2","Always on","null"
"A.U.B.H.S. School of Art Camera 3","ac:17:c8:0e:ab:9c","Q2FV-CZ5D-ZDAM","AUBHS","192.168.43.151","AUBHS School of art BLD / Port 1","Always on","null"
"A.U.B.H.S. School of Art camera 1","ac:17:c8:0e:a6:2c","Q2FV-CH9Y-EFBV","AUBHS","192.168.43.166","AUBHS School of art BLD / Port 4","Always on","null"
"NG Hostel 1 MV72","c4:8b:a3:62:2b:95","Q2JV-YT2K-A6GM","null","192.168.31.60","ENG-PRI-School-MP-BLDG / Port gi22","Always on","MV72-Outdoor-Profile"
"Mosque Parking MV72","bc:db:09:b0:b5:c0","Q2JV-YNJT-QP4F","null","192.168.43.81","Sport-Ground-officePOE-RMA / Port 1","Always on","MV72-Outdoor-Profile"
"PAI VEDA Behind","b8:ab:61:3f:d9:ee","Q2JV-YDDK-WVER","null","192.168.24.89","PAI-VEDA-SG350MP / Port gi20","Always on","MV72-Outdoor-Profile"
"NG2 Hostel","c4:8b:a3:62:9d:6e","Q2JV-XJNN-KA8V","null","192.168.28.70","NG2-Hostel-POE / Port gi4","Always on","MV72-Outdoor-Profile"
"Mudground Entry Left side","b8:ab:61:3f:ca:d3","Q2JV-WW5Q-9PS3","null","192.168.43.83","Sport-Ground-officePOE-RMA / Port 3","Always on","MV72-Outdoor-Profile"
"Dental Backside","b8:ab:61:3f:da:03","Q2JV-WNSB-X9FZ","null","192.168.22.64","SG350-28MP-Pharmacy-POE / Port gi19","Always on","MV72-Outdoor-Profile"
"Unani Gate 4 Entry","08:f1:b3:93:03:ae","Q2JV-W24H-Z8D5","null","192.168.27.51","Unani-Hospital-Physio POE / Port 22","Always on","MV72-Outdoor-Profile"
"Gate No 1 Exit","bc:db:09:b0:b3:da","Q2JV-V7HH-QKNE","null","192.168.38.54","Firdous Hostel MS120POE / Port 22","Always on","MV72-Outdoor-Profile"
"Golden jubilee entry parking","b8:ab:61:3f:cb:0c","Q2JV-UTYE-GFUK","null","192.168.46.195","null","Always on","MV72-Outdoor-Profile"
"Anglo Girls School outside","c4:8b:a3:62:9d:4a","Q2JV-UF8U-VTJP","null","10.0.61.156","AngloGirls-School-MP / Port gi17","Always on","MV72-Outdoor-Profile"
"ENG-PRIMARY-JR.MV72","bc:db:09:b0:b1:b5","Q2JV-UDPY-9NRQ","null","192.168.31.169","ENG-JR-COLLEGE / Port gi7","Always on","MV72-Outdoor-Profile"
"AIJC outside","b8:ab:61:3f:cc:8f","Q2JV-UB78-VYRG","null","192.168.36.252","Senior College new BLD POE2 / Port 18","Always on","MV72-Outdoor-Profile"
"election temp 2","b8:ab:61:3f:d9:8e","Q2JV-U79W-RS5F","null","192.168.41.22","null","Always on","MV72-Outdoor-Profile"
"Dental Backside","b8:ab:61:3f:cb:78","Q2JV-U376-TXYF","null","192.168.25.241","Dental College-Library-MS120POE / Port 18","Always on","MV72-Outdoor-Profile"
"Trust Office MV72","bc:db:09:b0:b2:ff","Q2JV-TSNU-S8XW","null","192.168.39.175","Trust-Office-POE ms120 / Port 7","Always on","MV72-Outdoor-Profile"
"Universiry BLD to Bakery","c4:8b:a3:62:2d:54","Q2JV-TLCQ-N7LY","SOCMACS-3rdFL","192.168.40.29","Dr. PAI-UNI-First FL-MS120P POE / Port 6","Always on","MV72-Outdoor-Profile"
"Mosque-Entry","c4:8b:a3:62:9d:59","Q2JV-TEWB-MLS9","null","192.168.44.227","Mosque-POE-MS130 / Port 1","Always on","MV72-Outdoor-Profile"
"Unani Gate 4 right side","b8:ab:61:3f:cb:7e","Q2JV-TCK7-B74W","null","192.168.26.87","Unani College Staircase MS130POE / Port 2","Always on","MV72-Outdoor-Profile"
"Dental-Entry","bc:db:09:b0:a1:a1","Q2JV-SXS3-QG5X","null","192.168.25.38","Dental-Admin-Office / Port 23","Always on","MV72-Outdoor-Profile"
"Mud-ground- seniorside","b8:ab:61:3f:cc:a4","Q2JV-RH3E-JEQ4","null","192.168.36.102","Senior College new BLD POE2 / Port 20","Always on","MV72-Outdoor-Profile"
"Gate 2 exit","b8:ab:61:3f:cb:fc","Q2JV-REX8-2M2D","null","192.168.41.58","Law College-2nd FL-MS120POE / Port 12","Always on","MV72-Outdoor-Profile"
"Mud Ground entry right side","c4:8b:a3:62:2c:a9","Q2JV-R83Z-DBFD","null","192.168.43.77","Sport-Ground-officePOE-RMA / Port 5","Always on","MV72-Outdoor-Profile"
"Trust-Office-hall-outside","ac:d3:1d:fe:a2:76","Q2JV-R23Q-HUWN","null","192.168.40.131","Dr. PAI-UNI-First FL-MS120P POE / Port 17","Always on","MV72-Outdoor-Profile"
"Pharmacy Backside","b8:ab:61:3f:da:f0","Q2JV-Q54U-WJKQ","null","192.168.22.20","SG350-28MP-Pharmacy-POE / Port gi20","Always on","MV72-Outdoor-Profile"
"Dr. PAI-UNI-Entry Outdoor","ac:d3:1d:fe:7d:50","Q2JV-PQRF-KRYJ","Dr.PAIU, Office","192.168.40.25","Dr. PAI-UNI- ServerRoom- Switch 3 / Port 9","Always on","MV72-Outdoor-Profile"
"Pharmacy MV72","bc:db:09:b0:b5:e1","Q2JV-P6T2-PV26","null","192.168.22.213","SG350-28MP-Pharmacy-POE / Port gi12","Always on","MV72-Outdoor-Profile"
"ICT-BLD-gate2 Facing","bc:db:09:b0:b1:55","Q2JV-P3US-Q94F","null","192.168.40.201","ICT-Building / Port 20","Always on","MV72-Outdoor-Profile"
"Firdous hostel entry","b8:ab:61:3f:cb:81","Q2JV-NZPB-8AZD","null","192.168.39.169","Trust-Office-POE ms120 / Port 15","Always on","MV72-Outdoor-Profile"
"Assemblyhall","b8:ab:61:3f:c7:5b","Q2JV-NX5E-WGP8","null","192.168.39.171","Trust-Office-POE ms120 / Port 14","Always on","MV72-Outdoor-Profile"
"ENG-Primary-School-Mv72","bc:db:09:b0:b1:46","Q2JV-NN27-83V4","null","192.168.31.129","ENG-PRI-School-MP-BLDG / Port gi24","Always on","MV72-Outdoor-Profile"
"Firdous Hostel Behind Gate","c4:8b:a3:62:9c:de","Q2JV-NCC3-CHW2","null","192.168.38.55","Firdous Hostel MS120POE / Port 18","Always on","MV72-Outdoor-Profile"
"Assemblyhall-Stage","b8:ab:61:3f:d9:c1","Q2JV-MZLC-GWPN","null","192.168.39.172","Trust-Office-POE ms120 / Port 16","Always on","MV72-Outdoor-Profile"
"MBA to Veda","b8:ab:61:3f:d9:d0","Q2JV-MW6T-L9U3","null","172.16.0.140","ServerRoom-POE / Port 11","Always on","MV72-Outdoor-Profile"
"Badminton court inside","b8:ab:61:3f:cb:ab","Q2JV-MTN7-EHMS","null","192.168.38.47","Old Trust Office POE / Port 4","Always on","MV72-Outdoor-Profile"
"Aman Building MV72","bc:db:09:b0:b1:4f","Q2JV-LQK2-MVL3","null","192.168.44.135","AMAN-BUILDING / Port 20","Always on","MV72-Outdoor-Profile"
"Trust office entry outdoor 2","b8:ab:61:3f:d9:e2","Q2JV-L9VR-6H7R","null","192.168.39.102","Trust-Office-POE ms120 / Port 17","Always on","MV72-Outdoor-Profile"
"Gate No 2 Entry","ac:d3:1d:fe:86:bf","Q2JV-KM4V-RAST","null","192.168.21.76","PAI-Public-School-350MP / Port gi24","Always on","MV72-Outdoor-Profile"
"MBA-Backside","bc:db:09:b0:b1:b2","Q2JV-KH6L-AQ6Q","null","192.168.24.96","PAI-VEDA-SG350MP / Port gi12","Always on","MV72-Outdoor-Profile"
"election temp1","b8:ab:61:3f:d9:10","Q2JV-JLT9-GJB9","null","192.168.21.53","null","Always on","MV72-Outdoor-Profile"
"MBA to Aman BLD","b8:ab:61:3f:db:56","Q2JV-JL7T-ZD66","null","172.16.0.73","ServerRoom-POE / Port 13","Always on","MV72-Outdoor-Profile"
"Dr. PAI-UNI-Lift-outdoor","c4:8b:a3:62:a0:14","Q2JV-HW2L-A98D","null","192.168.40.226","Dr. PAI-UNI-First FL-MS120P POE / Port 18","Always on","MV72-Outdoor-Profile"
"Unani College BLD Back side","b8:ab:61:3f:cb:66","Q2JV-HT4T-5HBR","null","192.168.26.88","Unani College Staircase MS130POE / Port 3","Always on","MV72-Outdoor-Profile"
"ICT-BLD-CAMERA","ac:d3:1d:fe:81:7f","Q2JV-HG7L-55KJ","SOCMACS-3rdFL","192.168.40.23","ICT-Building / Port 22","Always on","MV72-Outdoor-Profile"
"Golden jubilee hall side","b8:ab:61:3f:cb:f9","Q2JV-H8HV-79D2","null","192.168.46.196","null","Always on","MV72-Outdoor-Profile"
"Unani Hospital-Entry","08:f1:b3:93:03:f0","Q2JV-GWAV-AK8E","recently-added","192.168.27.52","Unani-Hospital-Physio POE / Port 23","Always on","MV72-Outdoor-Profile"
"Senior College Entry side","b8:ab:61:3f:db:83","Q2JV-DZKG-VXS9","null","192.168.36.63","Senior College new BLD POE2 / Port 22","Always on","MV72-Outdoor-Profile"
"b8:ab:61:3f:da:57","b8:ab:61:3f:da:57","Q2JV-CZB3-5J98","null","","null","Always on","MV72-Outdoor-Profile"
"PAI Public School Entry","b8:ab:61:3f:cb:f6","Q2JV-CXNX-2UKJ","null","192.168.21.22","PAI-Public-School-350MP / Port gi20","Always on","MV72-Outdoor-Profile"
"MBA-Canteen-Outside","08:f1:b3:93:03:e4","Q2JV-CR3N-U93V","null","172.16.0.118","ServerRoom-POE / Port 4","Always on","MV72-Outdoor-Profile"
"NG2-Hostel-Towards Dental","b8:ab:61:3f:cc:92","Q2JV-CDCH-TUZC","null","192.168.28.69","null","Always on","MV72-Outdoor-Profile"
"Gate No 1 LEDWALL","ac:d3:1d:fe:81:f1","Q2JV-C94K-2ZZC","null","192.168.43.78","Sport-Ground-officePOE-RMA / Port 2","Always on","MV72-Outdoor-Profile"
"Mud-ground-juniorside","b8:ab:61:3f:cb:ed","Q2JV-BQGU-LMXF","null","192.168.36.130","Senior College new BLD POE2 / Port 21","Always on","MV72-Outdoor-Profile"
"Roghy hostel outside","b8:ab:61:3f:cb:cc","Q2JV-BPYR-EQ9M","null","10.0.61.79","AngloGirls-School-MP / Port gi18","Always on","MV72-Outdoor-Profile"
"Unani Gate 4 exit","bc:db:09:b0:b6:fe","Q2JV-AZHW-KRAH","null","192.168.26.82","Unani College Staircase MS130POE / Port 4","Always on","MV72-Outdoor-Profile"
"Unani Gate 4 left side","b8:ab:61:3f:cb:72","Q2JV-9GDD-3FE2","null","192.168.26.86","Unani College Staircase MS130POE / Port 1","Always on","MV72-Outdoor-Profile"
"Pharmacy to MBA Canteen","b8:ab:61:3f:da:69","Q2JV-9G2M-D7Y5","null","192.168.22.96","SG350-28MP-Pharmacy-POE / Port gi21","Always on","MV72-Outdoor-Profile"
"Anglo-Girls-School-Entry","08:f1:b3:92:ff:ca","Q2JV-7PEA-V5LU","null","192.168.37.121","Anglo-Girls-School / Port 1","Always on","MV72-Outdoor-Profile"
"CCTV Room Outside","bc:db:09:b0:b3:11","Q2JV-5R76-9ZXH","null","192.168.24.109","PAI-VEDA-SG350MP / Port gi8","Always on","MV72-Outdoor-Profile"
"Universiry BLD to ICT","c4:8b:a3:62:2c:c4","Q2JV-5DAL-K3XG","SOCMACS-3rdFL","192.168.40.21","Dr. PAI-UNI-First FL-MS120P POE / Port 5","Always on","MV72-Outdoor-Profile"
"Trust-Office-Entry-Outside","ac:d3:1d:fe:9a:21","Q2JV-4U5U-PFC8","null","192.168.39.191","Trust-Office-POE ms120 / Port 13","Always on","MV72-Outdoor-Profile"
"Pai public school Ground","bc:db:09:b0:b0:fb","Q2JV-4RP8-QFUR","null","192.168.21.249","PAI-Public-School-350MP / Port gi8","Always on","MV72-Outdoor-Profile"
"Senior-College","c4:8b:a3:62:9c:ea","Q2JV-466S-43G7","null","192.168.36.111","Senior-College-CBS350 / gi13","Always on","MV72-Outdoor-Profile"
"Gate No 1 Entry","08:f1:b3:92:ff:91","Q2JV-2ZHW-WABA","null","192.168.39.176","Trust-Office-POE ms120 / Port 8","Always on","MV72-Outdoor-Profile"
"Badminton court","b8:ab:61:3f:cb:f3","Q2JV-2NYE-YX5T","null","192.168.38.46","Old Trust Office POE / Port 3","Always on","MV72-Outdoor-Profile"
"Dr. PAI-UNI-2nd FL LIFT LEFT SIDE","00:84:1e:ac:bd:84","Q2GV-ZUFH-WEQD","null","192.168.40.194","Dr. PAI-UNI-Second FL-MS120POE / Port 12","Always on","Indore Profile MV12"
"Dr. PAI-UNI- Parking Exit side 2","00:84:1e:ac:98:70","Q2GV-ZLT3-7PFP","null","192.168.40.220","Dr. PAI-UNI- ServerRoom- Switch 3 / Port 6","Always on","Indore Profile MV12"
"SOCMACS-3rdFL-BCA-CR2","00:84:1e:ac:85:02","Q2GV-ZL74-827C","SOCMACS-3rdFL","192.168.40.244","Dr. PAI-UNI-3rd FL-MS120P / Port 10","Always on","Indore Profile MV12"
"Sr. College new BLD GR FL left CR","00:84:1e:ac:bc:a3","Q2GV-YZBT-4JA4","null","192.168.36.253","Senior College new BLD POE2 / Port 10","Always on","Indore Profile MV12"
"Mosque Basement P Entry","00:84:1e:ac:41:6d","Q2GV-YYZB-HRGD","null","192.168.44.229","Mosque-POE-MS130 / Port 3","Always on","Indore Profile MV12"
"Dr. PAI-UNI-2rd FL- Classroom 5","00:84:1e:ac:be:08","Q2GV-YHKK-GNH7","null","192.168.40.101","Dr. PAI-UNI-Second FL-MS120POE / Port 8","Always on","Indore Profile MV12"
"Dr. PAI-UNI-2rd FL- Classroom 6","00:84:1e:ac:be:05","Q2GV-XTF7-T4BK","null","192.168.40.93","Dr. PAI-UNI-Second FL-MS120POE / Port 9","Always on","Indore Profile MV12"
"Sr. College new BLD 4th FL Passage","00:84:1e:ac:43:c5","Q2GV-XHBJ-UR8V","null","192.168.36.110","Senior College new BLD POE2 / Port 16","Always on","Indore Profile MV12"
"Dr. PAI-UNI-2rd FL Stairs Law Side","00:84:1e:ac:be:89","Q2GV-XH53-HRUL","null","192.168.40.68","Dr. PAI-UNI-Second FL-MS120POE / Port 5","Always on","Indore Profile MV12"
"SOCMACS-3rdFL-BCA-CR4","00:84:1e:ac:8e:c8","Q2GV-XBGN-J2TZ","SOCMACS-3rdFL","192.168.40.224","Dr. PAI-UNI-3rd FL-MS120P / Port 12","Always on","Indore Profile MV12"
"Mosque Basement P Exit","00:84:1e:ac:40:9e","Q2GV-WBKH-7MY7","null","192.168.44.228","Mosque-POE-MS130 / Port 2","Always on","Indore Profile MV12"
"Dr. PAI-UNI-2rd FL-Classroom 1","00:84:1e:ac:bf:f1","Q2GV-W322-5FZ5","null","192.168.40.134","Dr. PAI-UNI-Second FL-MS120POE / Port 4","Always on","Indore Profile MV12"
"Sr. College new BLD 1st Fl right t CR","00:84:1e:ac:bc:34","Q2GV-VQMT-GCCY","null","192.168.36.149","Senior College new BLD POE2 / Port 7","Always on","Indore Profile MV12"
"SOCMACS-3rdFL-BCA-CR5","00:84:1e:ac:8f:8b","Q2GV-UD4H-WQZS","SOCMACS-3rdFL","192.168.40.242","Dr. PAI-UNI-3rd FL-MS120P / Port 13","Always on","Indore Profile MV12"
"Dr. PAI-UNI-3rd FL Lib-camera1","00:84:1e:ac:bd:4e","Q2GV-UAD4-GEDC","SOCMACS-3rdFL","192.168.40.63","Dr. PAI-UNI-3rd FL-MS120POE-2 / Port 2","Always on","Indore Profile MV12"
"SOCMACS-3rdFL-BCA-CR3","00:84:1e:ac:91:c8","Q2GV-U8A7-Q5CD","SOCMACS-3rdFL","192.168.40.5","Dr. PAI-UNI-3rd FL-MS120P / Port 11","Always on","Indore Profile MV12"
